Course Code,Course Name,C,Pick
MA 640,Integral Geometry in Imaging Sciences,4
MA 642,Fourier Analysis on LCA Groups (first half),2
MA 636,Introduction to Riemannian Geometry,4
MA 643,Numerical Analysis for Partial Differential Equations,4
MA 691-II,Special Topics in Mathematics: Hilbert Modules,4
MA 691-VIII,Special Topics in Mathematics: Spectral Graph Theory,4
PH 502,Mathematical Methods of Physics - I,4
PH 503,Quantum Mechanics I,4
PH 505,Classical Electrodynamics,4
PH 508,Classical Mechanics,4
PH 510,Condensed Matter Physics,4
PH 610,Quantum Field Theory I,4
PH 611,X-ray Scattering: Concepts and Applications,4
PH 614,Atomic and Molecular Physics,4
PH 643,Quantum Computing and Information,4
PH 645,Topics in Soft and Active Matter Physics,4
PH 646,Advanced Statistical Physics,4
PH 648,Semiconductor Optoelectronics,4
PH 651,Nanomagnetism and Spintronics,4
PH 609,Introduction to Einstein’s Theory of General Relativity,4
PH 652,Gravitational Wave Astronomy,4
EH 605,Modeling of Earth System and Sustainability,4
EH 401,Archaeology: Theory and Methods,4
EH 635,Archaeology: Theory and Methods,4
EH 601,Earth Surface Processes in the Anthropocene,4
EH 608,Biodiversity Conservation and Sustainable Development,4
EH 618,Computational Tools for Earth System Modeling,4
EH 619,Geobiology,4
EH 620,Sequence Stratigraphy,4
EH 624,Applied Micropaleontology,4
EH 625,Environmental Geosciences,4
EH 626,Reservoir Modelling and Simulation,4
EH 627,Anthropocene: Human Impact on the Earth,4
EH 691-III,Special Topics in Earth Science: Microwave Remote Sensing,4
EH 691-XI,Special Topics in Earth Sciences: Stable Isotopes in Earth Systems,4
CG 501,Computation and Cognition,4
CG 503,Fundamentals of Cognitive Psychology,4
CG 504,Research Methods in Cognitive Science,4
CG 505,Fundamental Neuroscience,4
CG 606,Philosophy of Mind,4
CG 607,Emotion and Cognition,4
CG 612,Neural Plasticity,4
ES 673,NeuroAI: Neuroscience & Artificial Intelligence,4
CG 691-V,Special Topics in Cognitive Science: The Multilingual Brain,4
CG 691-VIII,Special Topics in Cognitive Sciences: Advanced Writing for Cognitive and Brain Sciences,4
FP 602,Writing (For Engineering PhD students and MTech Students),4
FP 602 (MA),Writing (PG Mathematics),4
HS 104,Foundational Sanskrit,4
HS 111,Urdu script and poetry,4
HS 112,Urdu poetry interpretation,4
HS 152,Japanese Language for Beginners,4
HS 153,Advance Japanese Learning,4
HS 154,Mandarin for Beginners,4
HS 155,Mandarin for Beginners - II,4
MS 408,Financial Considerations in Engineering Decisions,4
IN 304,Ancient Indian Technology,4
IN 491,Special Topics: Foundations of User Experience,4
HS 491-XI,Special Topics in HSS: Understanding and Designing Comics and Graphic Novels,4
HS 491-XIII,Special Topics in HSS: Drawing Connections: Environmental Perception and Visual Anthropology,4
HS 491-XIV,Special Topics in HSS: Appreciation of Classical Indian Music,4
HS 510,Perspectives on Indian Civilization,4
HS 512,Political Thought,4
HS 515,The Politics of the Environment,4
HS 520,Ancient Indian Architecture,4
HS 523,Quantitative Research Methods in Social Sciences,4
HS 524,Qualitative Research Methods,4
HS 526,"Education, Technology and Society",4
HS 610,A Critical Journey Through Select Thoughts and Theories,6
HS 631,Digital Cultures and New Media,4
HS 633,Scarred Nations: Partition in the Indian Subcontinent,4
HS 647,"Literature, Theory and Social Context",4
HS 651,Critical Perspectives in Sociology,4
